employee_id,department,manager_leadership_style,pers_openness,pers_conscientiousness,pers_extraversion,pers_agreeableness,pers_neuroticism,work_flexibility_preference,years_at_company,p_o_fit_score,fit_eligibility_class
EMP_00034,Sales,Supportive,3.76,4.21,3.06,4.17,2.03,3,0.7,55.4,Moderate
EMP_00035,Engineering,Democratic,4.36,4.23,3.46,3.75,2.4,5,1.6,65.5,Moderate
EMP_00036,Sales,Democratic,4.3,4.36,3.5,4.24,1.42,3,1.1,39.7,Low
EMP_00037,Sales,Autocratic/Micromanagement,4.05,3.43,3.47,3.43,2.41,4,3.1,20.6,Low
EMP_00038,Sales,Supportive,3.64,3.93,2.62,4.36,2.78,3,1.6,46.2,Moderate
EMP_00039,Engineering,Democratic,3.58,3.97,3.73,3.23,2.3,3,0.6,46.5,Moderate
EMP_00040,Sales,Democratic,2.68,3.79,3.11,2.81,4.39,3,4.7,37.8,Low
EMP_00041,Product Management,Democratic,3.4,3.05,1.81,3.86,5.0,3,2.0,36.4,Low
EMP_00042,Data Science,Supportive,3.48,3.86,2.79,3.77,1.0,4,0.5,57.8,Moderate
EMP_00043,Engineering,Democratic,3.58,3.9,1.73,3.1,2.65,5,3.7,41.6,Low
EMP_00044,Engineering,Democratic,3.93,3.28,2.3,4.55,2.92,1,1.0,44.5,Low
EMP_00045,Engineering,Supportive,3.47,4.15,3.18,2.88,2.53,2,1.9,46.4,Moderate
EMP_00046,Engineering,Supportive,3.42,3.71,3.55,3.89,1.0,2,5.6,62.6,Moderate
EMP_00047,Marketing,Supportive,3.01,4.79,2.36,3.79,3.54,1,6.8,47.8,Moderate
EMP_00048,Marketing,Supportive,3.91,3.34,2.71,3.85,2.74,4,2.1,48.9,Moderate
EMP_00049,HR,Democratic,4.2,3.72,2.99,3.79,1.28,4,1.3,42.3,Low
EMP_00050,Engineering,Supportive,4.24,4.16,2.13,4.38,3.69,4,3.7,42.7,Low
EMP_00051,Engineering,Autocratic/Micromanagement,3.11,5.0,4.6,3.8,1.55,4,4.9,60.8,Moderate
EMP_00052,Product Management,Supportive,4.43,3.91,3.12,4.29,3.59,5,1.4,51.4,Moderate
EMP_00053,Engineering,Autocratic/Micromanagement,2.63,3.67,2.27,4.44,2.96,3,6.5,42.2,Low
EMP_00054,Sales,Supportive,2.66,3.98,3.84,4.3,2.84,5,4.3,48.9,Moderate
EMP_00055,Engineering,Democratic,2.48,3.92,3.69,3.58,2.62,2,1.8,47.2,Moderate
EMP_00056,Marketing,Democratic,4.27,4.09,2.26,4.12,2.36,5,12.1,42.7,Low
EMP_00057,Product Management,Supportive,3.87,3.95,2.65,4.0,2.83,2,1.4,41.0,Low
EMP_00058,Sales,Supportive,4.19,4.06,3.0,2.29,2.97,3,3.5,54.8,Moderate
EMP_00059,Data Science,Democratic,4.3,4.84,3.17,2.55,1.63,4,11.9,60.9,Moderate
EMP_00060,Marketing,Democratic,2.8,3.78,2.43,3.99,3.27,2,19.0,37.6,Low
EMP_00061,Marketing,Supportive,3.4,3.71,3.86,3.95,2.25,3,0.5,52.6,Moderate
EMP_00062,Sales,Supportive,2.7,2.83,2.27,4.07,2.01,5,18.1,38.8,Low
EMP_00063,Sales,Supportive,3.21,3.69,2.17,3.55,1.0,4,0.7,43.7,Low
EMP_00064,Engineering,Supportive,3.31,4.24,2.28,3.01,2.04,4,6.4,69.0,Moderate
EMP_00065,Product Management,Supportive,4.28,4.52,2.89,4.08,3.64,5,0.7,39.7,Low
EMP_00066,Sales,Autocratic/Micromanagement,4.15,3.65,3.8,4.09,2.1,5,2.1,25.2,Low
EMP_00067,Engineering,Supportive,2.75,3.75,3.08,3.59,2.56,4,4.6,53.0,Moderate
EMP_00068,Product Management,Democratic,2.97,4.14,3.75,3.81,2.05,4,2.3,49.0,Moderate
EMP_00069,Engineering,Supportive,4.04,3.61,3.58,3.86,1.0,3,5.0,52.6,Moderate
EMP_00070,Data Science,Supportive,2.9,4.22,2.51,3.81,2.26,3,6.7,80.5,High
EMP_00071,Sales,Supportive,3.69,3.95,3.94,3.95,3.45,3,5.0,45.0,Moderate
EMP_00072,Data Science,Supportive,3.48,3.53,2.75,2.97,2.84,5,1.0,59.1,Moderate
EMP_00073,Sales,Supportive,3.77,4.14,2.67,3.82,2.3,4,6.4,59.7,Moderate
EMP_00074,Sales,Supportive,3.32,3.71,2.29,3.2,1.24,2,0.5,39.9,Low
EMP_00075,Engineering,Supportive,4.64,4.57,4.15,3.59,3.04,4,1.1,73.2,Moderate
EMP_00076,Marketing,Supportive,3.94,2.91,3.49,3.08,3.05,4,9.0,42.2,Low
EMP_00077,Engineering,Autocratic/Micromanagement,4.21,3.77,1.85,3.62,1.0,2,5.7,36.5,Low
EMP_00078,Engineering,Supportive,3.59,3.88,3.3,3.79,2.15,5,3.0,51.4,Moderate
EMP_00079,HR,Democratic,3.07,3.24,3.81,4.09,2.77,3,17.3,44.0,Low
EMP_00080,Marketing,Supportive,4.51,4.28,3.86,3.94,3.5,1,1.0,44.1,Low
EMP_00081,Engineering,Autocratic/Micromanagement,3.93,4.19,4.03,3.28,1.0,3,1.5,48.8,Moderate
EMP_00082,HR,Supportive,3.07,4.29,3.51,3.48,2.69,4,1.5,48.1,Moderate
EMP_00083,Marketing,Democratic,2.95,4.62,1.97,3.79,2.35,4,0.5,44.4,Low
EMP_00084,Product Management,Democratic,3.85,3.57,3.32,3.67,2.57,5,8.5,47.6,Moderate
EMP_00085,Engineering,Autocratic/Micromanagement,3.94,4.07,2.83,4.1,2.19,5,1.0,46.0,Moderate
EMP_00086,Engineering,Autocratic/Micromanagement,4.22,4.41,3.83,3.68,2.67,3,1.7,41.5,Low
EMP_00087,Engineering,Democratic,4.02,3.62,2.99,3.61,2.49,4,0.8,42.4,Low
EMP_00088,HR,Democratic,3.47,3.92,2.12,4.4,3.86,5,0.5,36.9,Low
EMP_00089,HR,Autocratic/Micromanagement,3.35,4.36,3.13,3.87,2.09,2,1.3,35.9,Low
EMP_00090,Engineering,Supportive,4.64,3.58,3.01,4.24,2.49,2,4.7,49.6,Moderate
EMP_00091,Sales,Democratic,4.24,4.63,2.33,3.36,1.7,3,0.5,37.3,Low
EMP_00092,Product Management,Supportive,3.38,3.96,1.84,4.06,3.41,2,3.3,45.4,Moderate
EMP_00093,Marketing,Supportive,4.04,3.3,2.74,3.79,2.75,2,1.1,49.4,Moderate
EMP_00094,Engineering,Supportive,3.6,5.0,2.8,2.58,1.0,4,3.4,74.0,Moderate
EMP_00095,Sales,Democratic,4.59,4.19,2.31,2.78,3.14,4,1.8,29.8,Low
EMP_00096,Product Management,Supportive,2.85,4.32,3.45,3.17,3.37,4,3.5,44.7,Low
EMP_00097,Product Management,Democratic,2.84,3.58,3.84,3.87,2.27,4,5.2,47.1,Moderate
EMP_00098,Sales,Supportive,3.78,3.68,4.01,4.5,1.1,4,1.2,66.4,Moderate
EMP_00099,Product Management,Supportive,3.53,3.38,2.45,3.73,3.19,3,1.3,50.9,Moderate
EMP_00100,Engineering,Democratic,3.6,4.31,3.9,3.2,3.0,2,5.2,56.3,Moderate
EMP_00101,Product Management,Supportive,3.09,4.21,3.8,4.03,1.67,4,3.3,43.5,Low
EMP_00102,Data Science,Democratic,3.07,3.65,2.93,3.35,2.37,4,4.0,43.0,Low
EMP_00103,Product Management,Autocratic/Micromanagement,3.76,3.71,3.18,2.46,3.36,5,2.4,37.2,Low
EMP_00104,Data Science,Democratic,2.93,4.18,3.1,3.69,2.43,5,0.7,40.2,Low
EMP_00105,Data Science,Supportive,4.12,3.57,3.96,3.67,1.72,4,0.5,57.1,Moderate
EMP_00106,Sales,Supportive,3.89,4.12,3.3,4.54,1.26,4,6.7,63.1,Moderate
EMP_00107,Sales,Supportive,2.4,4.1,3.55,4.13,2.73,3,0.9,50.8,Moderate
EMP_00108,Marketing,Supportive,3.34,3.73,3.2,3.67,2.19,3,9.7,52.8,Moderate
EMP_00109,Sales,Supportive,4.35,3.97,4.49,3.95,3.02,4,1.6,61.8,Moderate
EMP_00110,Sales,Supportive,4.56,3.55,2.93,5.0,3.26,4,2.5,47.2,Moderate
EMP_00111,Product Management,Democratic,4.64,3.3,3.68,4.46,2.67,5,1.2,36.8,Low
EMP_00112,Marketing,Autocratic/Micromanagement,3.97,4.5,3.19,3.73,4.04,5,0.5,27.5,Low
EMP_00113,Data Science,Democratic,2.66,3.41,3.49,4.27,2.98,5,2.3,35.8,Low
EMP_00114,Marketing,Supportive,3.18,3.5,2.18,4.19,2.37,5,1.2,47.1,Moderate
EMP_00115,Product Management,Supportive,2.94,4.91,2.74,3.22,1.45,4,0.5,62.0,Moderate
EMP_00116,Engineering,Democratic,4.06,4.22,3.25,3.04,2.28,3,8.2,53.8,Moderate
EMP_00117,Data Science,Supportive,3.83,3.6,3.45,3.13,2.69,3,10.8,48.1,Moderate
EMP_00118,Engineering,Democratic,3.82,3.18,2.53,2.32,1.29,2,2.2,53.6,Moderate
EMP_00119,Product Management,Democratic,3.37,3.48,3.29,3.22,3.79,4,1.1,36.1,Low
EMP_00120,Marketing,Democratic,3.61,4.58,3.54,2.64,2.21,5,4.0,50.3,Moderate
EMP_00121,Marketing,Supportive,4.41,3.23,3.51,3.88,2.12,5,0.5,51.1,Moderate
EMP_00122,Sales,Supportive,3.34,4.15,4.41,2.84,1.43,1,4.7,64.9,Moderate
EMP_00123,Engineering,Democratic,3.12,4.66,1.72,4.3,2.66,4,1.9,61.4,Moderate
EMP_00124,Product Management,Democratic,3.33,3.95,2.95,3.19,3.76,1,2.8,31.8,Low
EMP_00125,Product Management,Autocratic/Micromanagement,4.14,4.97,2.81,3.53,1.77,4,3.3,23.9,Low
EMP_00126,HR,Democratic,3.24,3.87,3.17,3.51,3.34,2,2.9,41.1,Low
EMP_00127,Engineering,Democratic,3.55,3.79,3.38,2.42,2.96,3,2.8,38.2,Low
EMP_00128,Data Science,Supportive,4.08,3.72,2.33,3.65,2.08,3,2.3,57.3,Moderate
EMP_00129,Sales,Supportive,3.46,2.96,2.93,3.97,3.3,2,12.3,44.3,Low
EMP_00130,Product Management,Democratic,4.06,4.56,2.66,3.46,2.71,3,2.8,35.3,Low
EMP_00131,Engineering,Autocratic/Micromanagement,4.29,3.27,3.48,2.93,2.43,5,7.8,36.0,Low
EMP_00132,Sales,Democratic,3.71,3.93,2.63,3.34,2.25,5,0.5,49.2,Moderate
EMP_00133,Marketing,Autocratic/Micromanagement,4.4,4.14,1.51,3.05,1.71,2,0.9,30.1,Low
EMP_00134,Marketing,Supportive,4.28,4.41,3.89,2.91,2.72,3,1.9,46.2,Moderate
EMP_00135,Sales,Supportive,3.75,4.04,3.52,2.62,3.11,4,0.6,43.3,Low
EMP_00136,Sales,Autocratic/Micromanagement,3.71,3.74,1.94,3.64,3.08,2,1.5,25.2,Low
EMP_00137,Marketing,Democratic,4.44,3.79,2.49,3.6,2.28,5,0.5,47.1,Moderate
EMP_00138,Engineering,Democratic,3.16,4.48,2.7,3.98,2.4,4,0.5,51.5,Moderate
EMP_00139,Engineering,Autocratic/Micromanagement,3.08,4.13,2.48,3.01,2.71,4,4.3,44.1,Low
EMP_00140,Engineering,Autocratic/Micromanagement,4.32,3.35,3.22,3.39,1.36,4,0.9,26.1,Low
EMP_00141,Marketing,Democratic,3.08,2.88,3.77,4.3,1.23,4,1.2,51.1,Moderate
EMP_00142,Engineering,Democratic,4.04,3.88,4.3,3.39,3.05,5,0.5,34.5,Low
EMP_00143,Engineering,Autocratic/Micromanagement,4.46,4.1,3.84,3.04,4.14,3,10.3,16.1,Low
EMP_00144,Engineering,Autocratic/Micromanagement,4.7,4.06,3.33,3.62,1.95,2,8.7,28.5,Low
EMP_00145,HR,Autocratic/Micromanagement,3.16,3.96,3.04,4.39,1.2,2,2.5,43.9,Low
EMP_00146,Engineering,Democratic,4.08,3.18,2.94,3.13,1.8,5,20.0,43.2,Low
EMP_00147,Sales,Supportive,3.08,4.23,4.66,3.6,2.22,5,8.0,70.8,Moderate
EMP_00148,HR,Supportive,4.03,4.57,3.68,3.62,1.0,4,4.8,53.1,Moderate
EMP_00149,Sales,Supportive,4.05,3.46,3.41,3.14,3.15,4,1.5,49.2,Moderate
EMP_00150,Sales,Supportive,3.21,3.63,2.79,3.25,2.53,4,0.5,43.3,Low
EMP_00151,HR,Autocratic/Micromanagement,3.61,4.29,2.42,2.97,1.06,5,9.4,51.7,Moderate
EMP_00152,Engineering,Supportive,3.68,3.63,3.16,3.7,3.1,3,2.9,50.3,Moderate
EMP_00153,Product Management,Autocratic/Micromanagement,3.77,3.46,5.0,3.73,1.87,3,2.3,39.3,Low
EMP_00154,Engineering,Democratic,4.21,2.94,4.19,3.27,1.82,2,2.0,45.4,Moderate
EMP_00155,Marketing,Supportive,2.22,3.66,2.74,2.76,1.59,1,7.2,54.5,Moderate
EMP_00156,Marketing,Supportive,3.64,4.27,3.71,4.52,2.87,3,0.6,46.9,Moderate
EMP_00157,Marketing,Supportive,3.36,4.4,4.56,4.31,2.65,3,1.1,56.0,Moderate
EMP_00158,Sales,Supportive,4.78,3.91,3.02,2.85,2.17,3,6.3,55.6,Moderate
EMP_00159,Product Management,Supportive,3.02,3.48,3.31,2.54,3.64,4,5.7,47.0,Moderate
EMP_00160,Engineering,Supportive,2.8,3.26,2.79,3.96,3.3,3,0.5,47.3,Moderate
EMP_00161,Engineering,Autocratic/Micromanagement,4.37,3.96,3.8,3.58,2.57,3,1.9,17.4,Low
EMP_00162,Engineering,Supportive,3.54,4.45,3.35,3.62,2.84,2,3.5,66.1,Moderate
EMP_00163,Data Science,Supportive,3.51,4.59,4.62,3.76,3.91,3,2.7,63.4,Moderate
EMP_00164,Product Management,Democratic,3.11,3.62,3.24,3.84,2.31,2,14.5,46.7,Moderate
EMP_00165,Marketing,Democratic,3.77,3.68,3.18,3.04,1.95,3,2.4,52.2,Moderate
EMP_00166,Data Science,Autocratic/Micromanagement,4.22,4.25,3.71,3.72,3.26,1,4.9,37.3,Low
EMP_00167,HR,Supportive,4.27,4.13,3.5,3.08,2.18,3,15.5,48.5,Moderate
EMP_00168,Engineering,Autocratic/Micromanagement,4.74,3.59,2.69,5.0,2.59,4,5.1,23.0,Low
EMP_00169,HR,Democratic,4.3,4.35,3.15,4.53,3.59,3,5.5,34.0,Low
EMP_00170,Sales,Supportive,4.89,3.59,3.71,2.99,3.35,4,7.2,47.1,Moderate
EMP_00171,Data Science,Supportive,3.32,4.35,2.7,3.9,2.88,4,4.4,60.2,Moderate
EMP_00172,Marketing,Autocratic/Micromanagement,3.99,3.33,2.8,3.07,2.84,3,6.3,45.2,Moderate
EMP_00173,Product Management,Democratic,3.38,3.48,2.9,1.99,2.26,4,1.3,47.4,Moderate
EMP_00174,Engineering,Democratic,3.4,3.92,3.57,4.31,3.86,4,2.4,40.3,Low
EMP_00175,Engineering,Autocratic/Micromanagement,3.04,3.78,2.26,2.82,3.09,4,2.7,36.6,Low
EMP_00176,Product Management,Supportive,2.29,3.85,3.79,3.1,1.27,2,0.5,57.5,Moderate
EMP_00177,HR,Autocratic/Micromanagement,4.54,3.93,1.97,2.32,1.3,5,5.8,37.8,Low
EMP_00178,Marketing,Supportive,3.77,4.06,1.81,3.15,2.29,5,1.0,61.7,Moderate
EMP_00179,Product Management,Democratic,3.81,4.23,3.29,2.87,2.52,4,3.6,38.8,Low
EMP_00180,Engineering,Democratic,3.69,4.06,3.16,3.64,2.67,5,0.5,38.9,Low
EMP_00181,Engineering,Supportive,3.17,3.74,2.92,3.62,1.84,3,10.1,56.3,Moderate
EMP_00182,Engineering,Supportive,3.23,4.88,3.16,4.0,2.25,2,1.0,67.6,Moderate
EMP_00183,Engineering,Supportive,3.27,3.8,2.27,4.26,1.99,4,3.4,47.0,Moderate
EMP_00184,Marketing,Democratic,3.84,3.72,2.42,3.6,2.35,2,13.6,44.2,Low
EMP_00185,Product Management,Supportive,4.13,4.5,2.96,3.71,3.24,4,0.5,45.6,Moderate
EMP_00186,Engineering,Autocratic/Micromanagement,3.42,4.2,3.13,3.03,2.23,5,1.3,59.3,Moderate
EMP_00187,Engineering,Autocratic/Micromanagement,2.67,3.74,3.17,3.39,1.93,5,3.6,44.4,Low
EMP_00188,Engineering,Democratic,2.84,4.48,1.8,3.88,3.17,3,5.9,58.9,Moderate
EMP_00189,Product Management,Supportive,3.27,4.38,2.67,4.21,2.17,4,7.3,54.5,Moderate
EMP_00190,Marketing,Democratic,3.47,3.72,3.19,2.71,2.38,4,1.0,34.1,Low
EMP_00191,HR,Autocratic/Micromanagement,3.59,4.6,2.27,2.73,1.0,5,0.7,47.8,Moderate
EMP_00192,Engineering,Supportive,3.88,4.17,2.55,3.53,3.02,3,0.9,50.7,Moderate
EMP_00193,Engineering,Autocratic/Micromanagement,2.78,3.77,1.91,3.75,1.4,4,2.8,43.1,Low
EMP_00194,Engineering,Democratic,3.68,3.82,3.3,2.36,3.15,3,3.0,31.6,Low
EMP_00195,Product Management,Democratic,2.74,4.53,2.16,2.98,3.35,3,1.5,33.8,Low
EMP_00196,Sales,Supportive,3.65,4.44,3.5,3.23,3.08,2,9.2,43.6,Low
EMP_00197,Engineering,Supportive,3.93,4.1,2.6,3.46,2.69,4,1.0,46.0,Moderate
EMP_00198,Engineering,Democratic,3.55,3.92,2.93,3.83,4.1,1,3.2,41.1,Low
EMP_00199,Engineering,Democratic,3.93,3.55,3.54,3.85,2.11,4,7.1,31.7,Low
EMP_00200,Engineering,Supportive,3.95,4.31,3.85,4.29,1.2,4,12.0,70.6,Moderate
EMP_00201,Engineering,Supportive,3.8,3.52,2.42,3.65,2.44,3,3.0,49.1,Moderate
EMP_00202,HR,Democratic,4.01,3.93,3.29,2.78,2.58,4,7.1,48.1,Moderate
EMP_00203,Engineering,Democratic,4.08,3.55,2.82,3.83,3.98,3,3.6,41.2,Low
EMP_00204,Engineering,Democratic,3.37,3.2,2.08,4.1,2.63,2,4.8,46.7,Moderate
EMP_00205,Engineering,Supportive,4.75,3.62,3.18,3.23,2.27,4,10.2,48.9,Moderate
EMP_00206,Product Management,Supportive,3.79,4.37,2.29,2.56,1.49,5,8.0,60.8,Moderate
EMP_00207,HR,Democratic,3.57,4.49,2.44,3.53,2.8,4,4.9,42.6,Low
EMP_00208,Engineering,Supportive,3.37,4.65,2.6,3.75,2.48,1,1.0,64.3,Moderate
EMP_00209,Marketing,Democratic,3.36,4.08,2.89,1.76,3.11,3,1.2,43.7,Low
EMP_00210,HR,Democratic,2.94,4.09,2.94,3.66,1.34,2,3.9,44.6,Low
EMP_00211,Sales,Democratic,4.54,3.87,4.59,3.78,2.09,3,2.4,62.7,Moderate
EMP_00212,Sales,Supportive,3.8,3.82,4.14,4.79,2.42,3,4.2,73.1,Moderate
EMP_00213,Sales,Autocratic/Micromanagement,4.06,4.34,4.51,4.72,2.21,1,0.9,50.9,Moderate
EMP_00214,Engineering,Autocratic/Micromanagement,3.9,3.48,2.07,3.54,1.3,4,8.4,40.3,Low
EMP_00215,Engineering,Supportive,3.85,3.31,4.0,3.57,2.39,4,4.6,61.5,Moderate
EMP_00216,Data Science,Supportive,3.61,4.12,4.01,3.85,2.01,4,9.6,54.2,Moderate
EMP_00217,Data Science,Supportive,3.12,4.51,2.04,3.74,2.67,4,5.0,69.1,Moderate
EMP_00218,Data Science,Democratic,4.03,3.71,4.54,3.49,3.62,3,6.5,32.7,Low
EMP_00219,Engineering,Supportive,2.49,3.78,2.6,3.24,2.09,4,12.8,56.7,Moderate
EMP_00220,Engineering,Democratic,3.36,2.86,3.09,2.79,2.61,3,20.0,44.9,Low
EMP_00221,Engineering,Democratic,4.21,3.72,2.67,3.79,2.61,4,2.1,42.0,Low
EMP_00222,Product Management,Autocratic/Micromanagement,3.27,3.79,2.49,2.41,3.3,2,3.7,41.8,Low
EMP_00223,Marketing,Democratic,2.87,3.58,3.66,4.9,3.44,4,1.8,42.6,Low
EMP_00224,Marketing,Supportive,2.35,4.17,3.97,4.09,2.36,2,1.5,46.3,Moderate
EMP_00225,Engineering,Democratic,4.09,3.49,2.13,4.62,2.23,2,0.7,54.4,Moderate
EMP_00226,Engineering,Supportive,3.52,3.84,1.0,3.34,2.5,5,3.7,48.6,Moderate
EMP_00227,Data Science,Democratic,3.48,4.9,4.07,3.8,1.39,4,5.7,62.4,Moderate
EMP_00228,Marketing,Supportive,3.88,3.12,2.09,3.46,3.75,2,1.4,40.4,Low
EMP_00229,Sales,Democratic,4.05,3.47,2.54,3.26,3.22,2,0.5,40.6,Low
EMP_00230,Sales,Democratic,3.54,4.21,2.3,3.99,1.82,5,0.5,34.6,Low
EMP_00231,Marketing,Supportive,4.28,3.88,4.51,2.99,2.41,4,6.7,48.3,Moderate
EMP_00232,Engineering,Democratic,4.3,4.67,2.68,3.77,2.01,3,7.3,63.8,Moderate
EMP_00233,Engineering,Supportive,3.44,4.01,2.69,4.61,2.54,5,10.5,47.8,Moderate
EMP_00234,Sales,Democratic,2.57,3.8,2.53,3.52,2.54,4,11.9,32.2,Low
EMP_00235,Sales,Supportive,2.87,3.75,3.04,2.36,2.7,4,5.0,47.4,Moderate
EMP_00236,Sales,Autocratic/Micromanagement,3.24,4.27,4.33,3.34,1.54,5,9.8,64.1,Moderate
EMP_00237,Engineering,Democratic,4.39,3.81,4.35,2.91,2.24,2,1.8,42.8,Low
EMP_00238,Sales,Democratic,3.65,3.14,1.78,3.42,2.52,5,0.5,30.7,Low
EMP_00239,Sales,Autocratic/Micromanagement,4.51,3.74,3.4,2.56,2.73,4,11.8,21.4,Low
EMP_00240,Marketing,Democratic,3.16,3.72,2.65,4.18,2.63,5,2.9,47.9,Moderate
EMP_00241,Sales,Supportive,4.26,3.59,1.17,3.35,1.99,3,1.7,37.3,Low
EMP_00242,Engineering,Democratic,4.48,4.34,2.36,3.22,3.87,4,19.7,52.9,Moderate
EMP_00243,HR,Supportive,3.59,3.02,4.6,3.71,4.35,5,8.0,38.7,Low
EMP_00244,Sales,Supportive,4.47,2.99,2.98,3.63,2.75,3,5.1,51.8,Moderate
EMP_00245,Sales,Autocratic/Micromanagement,3.57,4.49,3.04,3.47,2.23,2,1.3,49.3,Moderate
EMP_00246,Data Science,Democratic,1.96,3.14,3.67,2.99,3.71,3,14.3,31.0,Low
EMP_00247,Data Science,Democratic,3.48,3.44,2.54,3.44,2.02,3,4.3,47.2,Moderate
EMP_00248,Marketing,Supportive,3.28,4.57,3.33,3.83,2.65,2,1.0,49.7,Moderate
EMP_00249,Engineering,Supportive,4.48,3.77,2.15,3.57,3.68,2,1.1,43.6,Low
EMP_00250,Product Management,Democratic,3.25,4.02,3.31,3.47,3.2,2,1.4,48.6,Moderate
EMP_00251,Engineering,Supportive,4.12,3.39,2.57,3.31,2.49,3,1.7,55.6,Moderate
EMP_00252,Engineering,Supportive,3.72,3.3,3.61,2.91,4.14,5,10.0,40.9,Low
EMP_00253,Marketing,Autocratic/Micromanagement,3.71,4.28,4.2,3.59,2.67,5,6.9,42.5,Low
EMP_00254,Marketing,Supportive,4.15,3.63,2.71,4.38,1.0,4,0.6,57.0,Moderate
EMP_00255,HR,Democratic,3.37,3.73,2.94,3.69,2.04,4,9.1,52.5,Moderate
EMP_00256,Data Science,Supportive,3.38,3.57,3.19,3.91,2.8,2,3.7,39.3,Low
EMP_00257,Data Science,Supportive,4.29,4.12,4.3,3.15,1.68,1,14.6,52.4,Moderate
EMP_00258,HR,Supportive,3.76,3.89,2.68,3.82,1.96,3,7.9,54.2,Moderate
EMP_00259,Data Science,Supportive,3.96,3.99,3.9,4.21,2.2,4,6.6,53.2,Moderate
EMP_00260,HR,Supportive,3.76,3.86,4.87,3.22,4.13,4,2.5,37.1,Low
EMP_00261,Sales,Supportive,3.33,3.82,2.8,3.7,2.59,5,4.0,50.5,Moderate
EMP_00262,Product Management,Supportive,3.17,2.92,2.86,3.07,3.12,1,0.8,45.4,Moderate
EMP_00263,Engineering,Supportive,3.91,3.38,1.6,3.35,3.48,3,7.5,49.0,Moderate
EMP_00264,HR,Autocratic/Micromanagement,3.7,3.57,2.96,5.0,4.08,4,2.7,28.4,Low
