employee_id,department,manager_leadership_style,pers_openness,pers_conscientiousness,pers_extraversion,pers_agreeableness,pers_neuroticism,work_flexibility_preference,years_at_company,p_o_fit_score,fit_eligibility_class
EMP_0149,Engineering,Democratic,2.69,3.77,3.07,3.57,2.81,2,0.5,32.1,Low
EMP_0150,Data Science,Supportive,3.66,3.54,2.9,2.86,2.4,1,1.1,56.4,Moderate
EMP_0151,Product,Supportive,2.84,3.97,3.34,4.11,4.1,4,2.5,39.2,Low
EMP_0152,Engineering,Supportive,2.78,4.75,3.14,2.83,3.46,3,1.3,52.9,Moderate
EMP_0153,Engineering,Autocratic/Micromanagement,3.3,3.94,4.29,3.83,3.78,4,5.4,40.6,Low
EMP_0154,Sales,Autocratic/Micromanagement,3.26,5.0,3.54,3.45,2.72,3,0.5,30.6,Low
EMP_0155,Product,Democratic,3.22,3.26,3.57,3.16,3.36,1,5.6,40.0,Low
EMP_0156,Engineering,Supportive,3.93,3.79,4.13,3.44,2.77,4,3.4,39.7,Low
EMP_0157,Marketing,Supportive,3.66,3.58,2.89,4.15,3.88,5,1.2,35.3,Low
EMP_0158,HR,Autocratic/Micromanagement,3.4,3.15,2.19,2.78,2.64,1,1.5,39.1,Low
EMP_0159,Engineering,Democratic,3.73,3.71,4.17,3.25,1.58,3,0.7,38.6,Low
EMP_0160,Marketing,Supportive,2.91,4.05,3.31,3.05,1.1,4,1.0,56.4,Moderate
EMP_0161,Data Science,Democratic,3.67,4.11,3.31,3.48,4.03,4,4.4,55.9,Moderate
EMP_0162,Marketing,Supportive,3.71,5.0,2.69,3.09,3.08,4,1.6,45.4,Moderate
EMP_0163,Marketing,Supportive,2.55,4.08,2.71,2.44,3.14,4,4.1,54.0,Moderate
EMP_0164,Sales,Democratic,4.3,4.49,3.88,2.87,3.89,5,2.5,34.1,Low
EMP_0165,Engineering,Supportive,2.98,3.84,3.99,4.48,1.38,3,0.5,58.6,Moderate
EMP_0166,HR,Autocratic/Micromanagement,3.66,4.81,3.83,3.65,2.41,4,2.4,27.4,Low
EMP_0167,Data Science,Supportive,4.42,5.0,3.83,3.63,2.51,4,4.9,66.9,Moderate
EMP_0168,Engineering,Supportive,4.25,4.12,3.66,3.33,3.29,4,1.2,62.6,Moderate
EMP_0169,Engineering,Supportive,3.62,3.2,3.31,3.47,2.15,3,3.7,48.5,Moderate
EMP_0170,Sales,Autocratic/Micromanagement,3.35,3.47,3.06,3.24,1.74,4,0.8,51.6,Moderate
EMP_0171,Marketing,Democratic,4.26,3.97,4.17,3.82,1.73,4,0.5,39.7,Low
EMP_0172,Engineering,Democratic,4.07,4.07,2.9,3.56,3.62,4,1.6,40.7,Low
EMP_0173,Sales,Supportive,3.17,4.22,3.5,2.8,2.11,2,1.7,54.4,Moderate
EMP_0174,Engineering,Supportive,3.04,4.08,2.56,3.65,2.26,3,5.0,57.7,Moderate
EMP_0175,Marketing,Democratic,2.15,3.8,2.67,2.02,3.21,5,2.2,35.9,Low
EMP_0176,Engineering,Autocratic/Micromanagement,3.71,3.42,3.01,3.75,2.14,5,0.5,47.1,Moderate
EMP_0177,Marketing,Autocratic/Micromanagement,3.54,4.04,2.56,2.65,1.34,4,3.5,46.5,Moderate
EMP_0178,Data Science,Supportive,4.4,4.91,3.84,3.44,1.43,4,2.2,67.3,Moderate
EMP_0179,Product,Democratic,3.85,4.41,2.12,2.78,2.65,2,1.4,36.3,Low
EMP_0180,Engineering,Autocratic/Micromanagement,4.53,4.12,3.28,3.5,3.1,3,5.7,39.4,Low
EMP_0181,Data Science,Supportive,3.11,4.42,3.31,3.85,2.54,2,0.6,57.5,Moderate
EMP_0182,Engineering,Autocratic/Micromanagement,4.4,3.58,1.75,4.4,3.04,5,8.6,22.2,Low
EMP_0183,Product,Supportive,3.23,3.5,2.85,2.58,1.41,3,1.4,64.6,Moderate
EMP_0184,Product,Autocratic/Micromanagement,4.14,3.35,3.4,4.09,1.46,4,2.2,28.1,Low
EMP_0185,Data Science,Autocratic/Micromanagement,2.58,3.72,3.54,3.58,4.5,5,9.3,28.6,Low
EMP_0186,Marketing,Autocratic/Micromanagement,3.76,3.55,3.04,3.23,3.69,5,5.0,32.6,Low
EMP_0187,HR,Democratic,2.21,4.52,3.74,3.96,3.32,4,0.5,32.7,Low
EMP_0188,Sales,Supportive,3.41,3.51,3.11,3.36,2.17,4,3.0,47.0,Moderate
EMP_0189,Sales,Autocratic/Micromanagement,3.91,3.32,3.21,3.93,2.51,4,1.3,39.3,Low
EMP_0190,Engineering,Supportive,3.24,4.97,3.4,2.9,2.7,3,2.5,66.2,Moderate
EMP_0191,Engineering,Supportive,2.86,3.53,3.94,3.12,3.75,2,4.8,51.2,Moderate
EMP_0192,Product,Democratic,4.19,3.89,2.66,4.07,3.02,2,2.4,26.6,Low
EMP_0193,Product,Autocratic/Micromanagement,3.53,4.07,2.81,4.39,3.12,2,0.5,23.8,Low
EMP_0194,Marketing,Autocratic/Micromanagement,3.26,3.12,2.66,3.48,2.57,5,2.6,46.6,Moderate
EMP_0195,Data Science,Supportive,3.63,4.54,2.93,1.83,3.33,2,0.5,60.3,Moderate
EMP_0196,Data Science,Autocratic/Micromanagement,5.0,4.18,4.34,3.38,2.94,4,1.5,34.3,Low
EMP_0197,Marketing,Democratic,4.41,4.74,3.66,3.52,2.74,2,2.3,40.2,Low
EMP_0198,Product,Supportive,4.41,3.39,2.3,3.36,2.11,5,3.6,49.6,Moderate
EMP_0199,Product,Supportive,3.9,3.86,2.72,3.7,2.61,3,2.5,58.1,Moderate
EMP_0200,HR,Supportive,3.72,3.82,3.5,3.21,1.84,3,0.6,54.2,Moderate
EMP_0201,Marketing,Supportive,1.92,3.96,2.47,4.0,2.67,3,9.4,45.7,Moderate
EMP_0202,Engineering,Autocratic/Micromanagement,3.12,2.93,2.62,2.8,2.77,5,3.7,35.7,Low
EMP_0203,Engineering,Democratic,3.26,3.87,4.28,4.24,1.0,2,1.3,44.8,Low
EMP_0204,Product,Democratic,2.29,2.94,2.71,4.43,2.52,5,11.8,34.8,Low
EMP_0205,Marketing,Autocratic/Micromanagement,2.79,4.02,3.96,2.95,1.76,4,7.5,50.5,Moderate
EMP_0206,Engineering,Supportive,2.21,2.52,4.2,2.95,3.1,2,0.5,46.7,Moderate
EMP_0207,Engineering,Autocratic/Micromanagement,3.57,2.69,2.61,3.75,3.21,1,3.7,29.7,Low
EMP_0208,Marketing,Democratic,4.17,4.29,2.49,2.79,2.36,4,2.9,41.4,Low
EMP_0209,Engineering,Autocratic/Micromanagement,4.37,3.47,2.98,3.2,3.14,2,0.7,25.1,Low
EMP_0210,Engineering,Supportive,3.89,3.21,2.33,4.16,3.17,5,0.9,51.0,Moderate
EMP_0211,Sales,Autocratic/Micromanagement,2.93,4.56,3.3,3.94,2.52,2,2.9,34.9,Low
EMP_0212,Marketing,Supportive,2.25,4.0,3.04,4.69,3.93,4,1.4,36.8,Low
EMP_0213,Marketing,Supportive,2.37,4.32,3.49,3.6,2.12,4,6.3,57.6,Moderate
EMP_0214,Engineering,Autocratic/Micromanagement,2.71,3.7,4.32,3.13,3.88,4,0.5,24.4,Low
EMP_0215,Marketing,Supportive,2.98,5.0,3.85,3.53,2.52,3,8.6,50.5,Moderate
EMP_0216,Engineering,Democratic,3.49,3.44,3.59,3.41,2.03,5,6.4,38.0,Low
EMP_0217,Data Science,Democratic,2.89,4.85,1.63,3.42,2.42,4,4.7,60.7,Moderate
EMP_0218,Marketing,Democratic,3.84,3.76,3.55,3.49,1.82,3,1.1,36.5,Low
EMP_0219,Marketing,Supportive,3.44,2.81,4.58,2.94,3.33,4,4.4,41.0,Low
EMP_0220,HR,Supportive,3.61,4.09,1.0,3.67,1.42,4,2.0,56.7,Moderate
EMP_0221,Marketing,Supportive,4.4,3.99,3.75,2.65,3.81,5,3.5,46.8,Moderate
EMP_0222,Sales,Democratic,2.77,3.17,3.07,3.07,1.95,5,1.3,48.0,Moderate
EMP_0223,Engineering,Supportive,3.89,3.25,2.52,3.43,3.37,2,6.3,47.2,Moderate
EMP_0224,Data Science,Supportive,3.59,3.79,3.84,2.14,2.72,3,0.5,49.5,Moderate
EMP_0225,Data Science,Supportive,3.37,4.01,4.57,3.96,2.92,5,4.1,67.1,Moderate
EMP_0226,Engineering,Supportive,4.22,2.32,3.82,2.27,2.23,2,6.2,28.1,Low
EMP_0227,Product,Democratic,4.22,4.43,2.9,3.9,2.98,5,3.6,32.2,Low
EMP_0228,Data Science,Autocratic/Micromanagement,2.94,3.5,2.45,2.72,2.81,4,0.7,30.9,Low
EMP_0229,Product,Supportive,3.47,3.0,3.32,3.26,1.53,1,1.2,39.7,Low
EMP_0230,Marketing,Democratic,3.8,4.36,3.9,3.81,1.93,3,2.5,45.5,Moderate
EMP_0231,HR,Democratic,3.41,3.79,2.89,4.82,2.27,3,1.4,46.9,Moderate
EMP_0232,Sales,Democratic,4.01,4.53,2.97,3.57,2.1,5,0.5,28.3,Low
EMP_0233,Sales,Democratic,3.8,4.06,5.0,2.31,3.7,3,0.5,47.3,Moderate
EMP_0234,Sales,Democratic,4.88,3.8,4.06,4.07,2.71,3,5.1,50.2,Moderate
EMP_0235,Engineering,Democratic,2.53,3.71,4.12,3.36,2.08,5,0.5,40.9,Low
EMP_0236,Marketing,Supportive,3.51,4.09,2.03,3.54,2.31,1,9.2,58.1,Moderate
EMP_0237,Data Science,Democratic,2.96,3.55,2.63,3.83,2.3,4,2.0,47.4,Moderate
EMP_0238,Engineering,Democratic,4.02,3.29,3.26,2.16,2.47,3,5.0,36.0,Low
EMP_0239,Marketing,Supportive,2.47,4.17,2.4,3.5,1.84,1,0.5,57.3,Moderate
EMP_0240,Engineering,Supportive,3.84,3.71,4.48,3.25,2.05,1,9.1,56.9,Moderate
EMP_0241,Product,Autocratic/Micromanagement,3.16,3.82,4.33,4.23,3.31,3,0.5,38.4,Low
EMP_0242,Product,Democratic,3.09,4.45,2.77,3.94,2.85,2,0.5,39.1,Low
EMP_0243,Product,Democratic,2.59,3.73,4.63,2.52,2.58,3,0.5,40.2,Low
EMP_0244,Data Science,Autocratic/Micromanagement,3.27,3.81,3.2,4.26,2.7,4,0.5,30.4,Low
EMP_0245,Engineering,Democratic,4.36,3.44,5.0,3.77,2.66,4,2.3,30.2,Low
EMP_0246,Product,Democratic,3.58,4.06,3.32,2.57,2.53,3,5.4,42.5,Low
EMP_0247,Sales,Autocratic/Micromanagement,4.04,4.01,3.66,3.53,3.11,3,1.2,12.5,Low
EMP_0248,Product,Autocratic/Micromanagement,4.77,4.34,4.32,4.12,3.05,2,4.8,11.3,Low
EMP_0249,Product,Democratic,3.78,3.45,4.22,2.77,1.44,2,5.2,33.1,Low
EMP_0250,Product,Democratic,3.21,3.53,3.61,4.33,2.59,3,8.4,36.0,Low
EMP_0251,Data Science,Supportive,3.93,4.28,3.09,2.59,1.5,5,0.6,70.1,Moderate
EMP_0252,Data Science,Autocratic/Micromanagement,3.22,3.95,3.61,3.03,3.21,2,0.5,37.8,Low
EMP_0253,Product,Democratic,3.25,3.26,2.55,2.93,3.31,3,0.5,39.4,Low
EMP_0254,Data Science,Supportive,2.54,4.58,3.32,4.33,2.21,4,1.6,63.1,Moderate
EMP_0255,Engineering,Autocratic/Micromanagement,4.25,2.78,2.31,3.21,2.61,4,2.4,20.8,Low
EMP_0256,Sales,Democratic,3.33,4.27,1.78,2.8,1.01,5,2.2,34.7,Low
EMP_0257,Product,Supportive,3.73,3.04,3.24,3.77,3.48,2,1.0,46.7,Moderate
EMP_0258,Marketing,Democratic,2.87,4.93,4.21,3.9,3.27,1,3.4,32.4,Low
EMP_0259,Sales,Democratic,3.91,2.87,3.94,3.9,3.62,3,1.4,35.2,Low
EMP_0260,Engineering,Autocratic/Micromanagement,3.07,4.49,3.13,3.34,3.89,2,1.6,37.6,Low
EMP_0261,Marketing,Supportive,3.5,3.75,4.6,3.65,1.72,3,0.5,52.3,Moderate
EMP_0262,Product,Autocratic/Micromanagement,4.21,3.58,2.74,3.11,3.41,5,3.1,13.6,Low
EMP_0263,Engineering,Democratic,4.15,3.91,1.67,4.5,3.88,4,3.7,40.1,Low
EMP_0264,Sales,Supportive,3.58,4.18,1.45,4.19,1.5,2,5.0,33.4,Low
EMP_0265,Product,Autocratic/Micromanagement,2.36,3.26,2.26,4.15,2.56,2,8.2,39.1,Low
